,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,1.0,0.8412326816343194,0.9887296692395474,0.3182727375102156,0.9066291907032304,0.9066291907032304,0.9886159018438416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889175969448182,1.0,0.9992859292431349
static01.nytimes.com,0.8412326816343194,1.0,1.0,0.0,0.94108976596623,0.94108976596623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9796627066342151,1.0,1.0
purr.nytimes.com,0.9887296692395474,1.0,1.0,0.8635891014880626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994879828439507,1.0,1.0
nytimes.com,0.3182727375102156,0.0,0.8635891014880626,1.0,0.7214849504867554,0.7214849504867554,0.8857893186669079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997990369886829,1.0,1.0,1.0,1.0,1.0,0.8282878816503245,1.0,1.0
nyt.com,0.9066291907032304,0.94108976596623,1.0,0.7214849504867554,1.0,0.7444643717997523,0.9951625881596734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98998407730824,1.0,1.0
g1.nyt.com,0.9066291907032304,0.94108976596623,1.0,0.7214849504867554,0.7444643717997523,1.0,0.9951625881596734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98998407730824,1.0,1.0
a.nytimes.com,0.9886159018438416,1.0,1.0,0.8857893186669079,0.9951625881596734,0.9951625881596734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998995134455676,1.0,1.0,1.0,1.0,1.0,0.9975356390101328,1.0,1.0
wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554940447414222,0.9554940447414222,0.8326923814716511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554940447414222,1.0,0.13980844675324489,0.9554940447414222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upload.wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554940447414222,0.13980844675324489,1.0,0.9554940447414222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
