,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,1.0,0.8960200783870048,0.9984633956204035,0.48516107383245116,0.9584396452420512,0.9584396452420512,0.993770078136872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995202125077172,1.0,0.9996944055096368
static01.nytimes.com,0.8960200783870048,1.0,1.0,0.0,0.9804528164070508,0.9804528164070508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999963201319545,1.0,1.0
purr.nytimes.com,0.9984633956204035,1.0,1.0,0.7871707646032364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nytimes.com,0.48516107383245116,0.0,0.7871707646032364,1.0,0.9109095554069946,0.9109095554069946,0.8068771864468816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999668816750782,1.0,1.0
nyt.com,0.9584396452420512,0.9804528164070508,1.0,0.9109095554069946,1.0,0.604638585894014,0.9944307933150068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995391857152195,1.0,1.0
g1.nyt.com,0.9584396452420512,0.9804528164070508,1.0,0.9109095554069946,0.604638585894014,1.0,0.9944307933150068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995391857152195,1.0,1.0
a.nytimes.com,0.993770078136872,1.0,1.0,0.8068771864468816,0.9944307933150068,0.9944307933150068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9729748771312857,0.9729748771312857,0.7370188215145765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9729748771312857,1.0,0.14701991558581642,0.9729748771312857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upload.wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9729748771312857,0.14701991558581642,1.0,0.9729748771312857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
en.wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7370188215145765,0.9729748771312857,0.9729748771312857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mmg.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959744564733921,0.996313563195274,0.9948222035125831,0.9959197106901624,0.9539525816276831,0.9659012190132225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr8-2.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959744564733921,1.0,0.9845172224548614,0.9953922585322366,0.9950652525352383,0.9966352368600051,0.996100806871402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr8-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996313563195274,0.9845172224548614,1.0,0.9219639796549551,0.9229236154175043,0.9965707422920063,0.9961744818414147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr6-2.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948222035125831,0.9953922585322366,0.9219639796549551,1.0,0.9082248547449971,0.9963453028743897,0.9957283090789127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr6-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959197106901624,0.9950652525352383,0.9229236154175043,0.9082248547449971,1.0,0.9961857366715391,0.9965325054108026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-ams4-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9539525816276831,0.9966352368600051,0.9965707422920063,0.9963453028743897,0.9961857366715391,1.0,0.9657436678850602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-ams2-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659012190132225,0.996100806871402,0.9961744818414147,0.9957283090789127,0.9965325054108026,0.9657436678850602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
www.cat.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9711238759504858,0.9711238759504858,1.0,1.0,1.0,1.0,1.0,1.0
scene7.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9711238759504858,1.0,0.2087028396107772,1.0,1.0,1.0,1.0,1.0,1.0
s7d2.scene7.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9711238759504858,0.2087028396107772,1.0,1.0,1.0,1.0,1.0,1.0,1.0
www.netflix.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959676066106471,0.9895530615861685,0.9446502100915695,0.9672737404230437,0.9879515348537721
web.prod.cloud.netflix.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9959676066106471,1.0,0.9653363564592939,0.9260391355089086,0.9292348308699095,0.13234392662345393
occ-0-768-769.1.nflxso.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895530615861685,0.9653363564592939,1.0,0.948489149775859,3.09669637160123e-05,0.9346256234114988
nflxvideo.net,0.9995202125077172,0.9999963201319545,1.0,0.9999668816750782,0.9995391857152195,0.9995391857152195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9446502100915695,0.9260391355089086,0.948489149775859,1.0,0.8059460922384628,0.8194807894978574
nflxso.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9672737404230437,0.9292348308699095,3.09669637160123e-05,0.8059460922384628,1.0,0.8666197660307426
netflix.com,0.9996944055096368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9879515348537721,0.13234392662345393,0.9346256234114988,0.8194807894978574,0.8666197660307426,1.0
