,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,0.0,54.34536490047376,0.7611775198400287,358.0082681143869,21.011364606248968,21.011364606248968,3.0933491246989853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23754348904234285,0.0,0.15128709759775988
static01.nytimes.com,54.34536490047376,0.0,0.0,6434.774854261757,9.771332566892776,9.771332566892776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001821474302614171,0.0,0.0
purr.nytimes.com,0.7611775198400287,0.0,0.0,118.4543412476473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nytimes.com,358.0082681143869,6434.774854261757,118.4543412476473,0.0,46.18765921519422,46.18765921519422,106.21526841249532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016393268723527546,0.0,0.0
nyt.com,21.011364606248968,9.771332566892776,0.0,46.18765921519422,0.0,249.03785361733242,2.7643656833881955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22814766105732034,0.0,0.0
g1.nyt.com,21.011364606248968,9.771332566892776,0.0,46.18765921519422,249.03785361733242,0.0,2.7643656833881955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22814766105732034,0.0,0.0
a.nytimes.com,3.0933491246989853,0.0,0.0,106.21526841249532,2.7643656833881955,2.7643656833881955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.561048997242288,13.561048997242288,151.03993058602197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.561048997242288,0.0,948.9744709167674,13.561048997242288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upload.wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.561048997242288,948.9744709167674,0.0,13.561048997242288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en.wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.03993058602197,13.561048997242288,13.561048997242288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmg.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965957208399538,1.8280940239577683,2.5695777184442647,2.0238042091375097,23.33413377733587,17.172784478593176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965957208399538,0.0,7.723654045645463,2.286022980903632,2.4486612745474154,1.6683077872163403,1.9338056646615596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8280940239577683,7.723654045645463,0.0,40.216909139298906,39.70196922997131,1.7003402961786191,1.8971964325842205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5695777184442647,2.286022980903632,40.216909139298906,0.0,47.648663183873374,1.8123255532629472,2.118941986549895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0238042091375097,2.4486612745474154,39.70196922997131,47.648663183873374,0.0,1.891604124588315,1.719332382011689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-ams4-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33413377733587,1.6683077872163403,1.7003402961786191,1.8123255532629472,1.891604124588315,0.0,17.2535292164376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-ams2-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.172784478593176,1.9338056646615596,1.8971964325842205,2.118941986549895,1.719332382011689,17.2535292164376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.cat.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.503607910557566,14.503607910557566,0.0,0.0,0.0,0.0,0.0,0.0
scene7.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.503607910557566,0.0,775.560574092601,0.0,0.0,0.0,0.0,0.0,0.0
s7d2.scene7.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.503607910557566,775.560574092601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.netflix.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.19825403127511,28.184595042192967,16.469925755814465,6.0
web.prod.cloud.netflix.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.462336828774156,38.033866455499705,36.32865692760306,1001.0288389523812
occ-0-768-769.1.nflxso.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19825403127511,17.462336828774156,0.0,26.177123957531293,5139.20204105029,33.46539924128603
nflxvideo.net,0.23754348904234285,0.001821474302614171,0.0,0.016393268723527546,0.22814766105732034,0.22814766105732034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.184595042192967,38.033866455499705,26.177123957531293,0.0,106.78678243381259,98.54329186809049
nflxso.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.469925755814465,36.32865692760306,5139.20204105029,106.78678243381259,0.0,70.85922651869265
netflix.com,0.15128709759775988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1001.0288389523812,33.46539924128603,98.54329186809049,70.85922651869265,0.0
