,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,0.0,14583.494047555529,1314.8894386489312,106763.95232642458,7815.580000616964,7815.580000616964,472.96357049443753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866348773310777,0.0,10.222421160737639,0.0,0.0,0.0,0.22711367778884348,43.839996817993864,3896.6650014880615,153.47811294357896,97.48011257698384
static01.nytimes.com,14583.494047555529,0.0,140.92654460459775,117576.79717313011,2003.0951929176072,2003.0951929176072,109.77527322037082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.641306067175222,0.0,0.0,0.0,0.0,0.04421605948754041,886.6017477221469,0.1548502323615418,6.9452087660003095
purr.nytimes.com,1314.8894386489312,140.92654460459775,0.0,1359.3927750437363,75.25647682335352,75.25647682335352,6.981963496293052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.9140016290456,0.0,0.013274194064274544
nytimes.com,106763.95232642458,117576.79717313011,1359.3927750437363,0.0,14461.514185635395,14461.514185635395,1367.8904320049512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.22692180669304,0.0,0.0,0.0,0.009386494477282072,6.380489933103966,8323.629326499753,22.340126243040153,62.531012566628355
nyt.com,7815.580000616964,2003.0951929176072,75.25647682335352,14461.514185635395,0.0,1764.2984924391742,177.77768598010186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.341286394328479,0.0,0.0,0.0,0.01420871376597737,6.65836225049473,94.10155131361388,23.311895100211657,1.1200943035779434
g1.nyt.com,7815.580000616964,2003.0951929176072,75.25647682335352,14461.514185635395,1764.2984924391742,0.0,177.77768598010186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.341286394328479,0.0,0.0,0.0,0.01420871376597737,6.65836225049473,94.10155131361388,23.311895100211657,1.1200943035779434
a.nytimes.com,472.96357049443753,109.77527322037082,6.981963496293052,1367.8904320049512,177.77768598010186,177.77768598010186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.727583601057919,0.0,0.0,0.0,0.004693247238641036,2.99127269885805,123.52981173422829,10.47323707589319,0.004693247238641036
wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.373933764256,3182.373933764256,1343.1018202926139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.373933764256,0.0,18358.36805000251,3182.3739337642583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045540639397561,4.62961609493326,0.8782835049638635,0.0,2.96589195697696,9.259232189866518
upload.wikimedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.373933764256,18358.36805000251,0.0,3182.3739337642583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045540639397561,4.62961609493326,0.8782835049638635,0.0,2.96589195697696,9.259232189866518
en.wikipedia.org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.1018202926139,3182.3739337642583,3182.3739337642583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmg.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.27009937168,159.30470309318852,159.11611935104176,159.11059519013688,186.32058747118796,146.40437231461985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.27009937168,0.0,190.59201275017634,190.45841995997162,190.46192965918098,212.4281180205415,162.32514189480545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr8-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.30470309318852,190.59201275017634,0.0,190.75645719456455,190.7590592757578,211.7909721343481,161.36061815548285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-2.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.11611935104176,190.45841995997162,190.75645719456455,0.0,190.7621029781241,211.66011170256385,161.17210763550602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-lhr6-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.11059519013688,190.46192965918098,190.7590592757578,190.7621029781241,0.0,211.65815271281957,161.16554587580765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
media-ams4-1.cdn.whatsapp.net,1.866348773310777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.32058747118796,212.4281180205415,211.7909721343481,211.66011170256385,211.65815271281957,0.0,188.3253803379697,0.0,0.0,0.0,0.0,0.0,0.0,1.0065946333776778,0.9733865270064269,1.0065946333776778
media-ams2-1.cdn.whatsapp.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.40437231461985,162.32514189480545,161.36061815548285,161.17210763550602,161.16554587580765,188.3253803379697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
