,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,1.0,0.7170428526216166,0.9743663169765507,0.08935500737630744,0.7919035352937727,0.7919035352937727,0.9852526045465837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9435970509945574,1.0,0.9990002573875867
static01.nytimes.com,0.7170428526216166,1.0,0.9985865147749715,0.0,0.8906770755915182,0.8906770755915182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9457481313496636,1.0,1.0
purr.nytimes.com,0.9743663169765507,0.9985865147749715,1.0,0.941147790576831,0.9991521888599809,0.9991521888599809,0.999999923914736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993294553031987,1.0,1.0
nytimes.com,0.08935500737630744,0.0,0.941147790576831,1.0,0.48835324270956,0.48835324270956,0.9598000054831347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992049111489401,1.0,1.0,1.0,1.0,1.0,0.601709698229178,1.0,1.0
nyt.com,0.7919035352937727,0.8906770755915182,0.9991521888599809,0.48835324270956,1.0,0.7808135277846293,0.991255450059869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9909346034558453,1.0,1.0
g1.nyt.com,0.7919035352937727,0.8906770755915182,0.9991521888599809,0.48835324270956,0.7808135277846293,1.0,0.991255450059869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9909346034558453,1.0,1.0
a.nytimes.com,0.9852526045465837,1.0,0.999999923914736,0.9598000054831347,0.991255450059869,0.991255450059869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999602376522255,1.0,1.0,1.0,1.0,1.0,0.9951428938171144,1.0,1.0
wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.930255846904366,0.930255846904366,0.8529519603754259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.930255846904366,1.0,0.14212496767800548,0.930255846904366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upload.wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.930255846904366,0.14212496767800548,1.0,0.930255846904366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
en.wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8529519603754259,0.930255846904366,0.930255846904366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mmg.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9826353470964243,0.9840246760691761,0.9842826044743588,0.9842929777709711,0.9723032481876392,0.973297861681739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr8-2.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9826353470964243,1.0,0.971858647788452,0.9720970429385453,0.9720932448766219,0.9768696207084043,0.9821282300721497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr8-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840246760691761,0.971858647788452,1.0,0.9712823831560551,0.9712813176032076,0.9776764373221004,0.9835273080142504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr6-2.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842826044743588,0.9720970429385453,0.9712823831560551,1.0,0.9712198312686858,0.9778200267197805,0.9837874704985032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-lhr6-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842929777709711,0.9720932448766219,0.9712813176032076,0.9712198312686858,1.0,0.9778262890811167,0.9838002755960568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-ams4-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9723032481876392,0.9768696207084043,0.9776764373221004,0.9778200267197805,0.9778262890811167,1.0,0.9719617416706199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
media-ams2-1.cdn.whatsapp.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973297861681739,0.9821282300721497,0.9835273080142504,0.9837874704985032,0.9838002755960568,0.9719617416706199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
www.cat.com,1.0,1.0,1.0,0.9992049111489401,1.0,1.0,0.999602376522255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8994834687904097,0.8994834687904097,1.0,1.0,1.0,1.0,1.0,1.0
scene7.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8994834687904097,1.0,0.6152228273923704,1.0,1.0,1.0,1.0,1.0,1.0
s7d2.scene7.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8994834687904097,0.6152228273923704,1.0,1.0,1.0,1.0,1.0,1.0,1.0
www.netflix.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760151259569458,0.9427763206228206,0.762971578890459,0.8133124088120552,0.9513196763937517
web.prod.cloud.netflix.com,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760151259569458,1.0,0.8792794030069383,0.8437455783450363,0.6402076587177363,0.43814981190840224
occ-0-768-769.1.nflxso.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9427763206228206,0.8792794030069383,1.0,0.839814565539731,9.068308496373954e-06,0.7977860503780113
nflxvideo.net,0.9435970509945574,0.9457481313496636,0.9993294553031987,0.601709698229178,0.9909346034558453,0.9909346034558453,0.9951428938171144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.762971578890459,0.8437455783450363,0.839814565539731,1.0,0.53637694563188,0.707492007750464
nflxso.net,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8133124088120552,0.6402076587177363,9.068308496373954e-06,0.53637694563188,1.0,0.4564543660286912
netflix.com,0.9990002573875867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9513196763937517,0.43814981190840224,0.7977860503780113,0.707492007750464,0.4564543660286912,1.0
