,www.nytimes.com,static01.nytimes.com,purr.nytimes.com,nytimes.com,nyt.com,g1.nyt.com,a.nytimes.com,wikipedia.org,wikimedia.org,upload.wikimedia.org,en.wikipedia.org,mmg.whatsapp.net,media-lhr8-2.cdn.whatsapp.net,media-lhr8-1.cdn.whatsapp.net,media-lhr6-2.cdn.whatsapp.net,media-lhr6-1.cdn.whatsapp.net,media-ams4-1.cdn.whatsapp.net,media-ams2-1.cdn.whatsapp.net,www.cat.com,scene7.com,s7d2.scene7.com,www.netflix.com,web.prod.cloud.netflix.com,occ-0-768-769.1.nflxso.net,nflxvideo.net,nflxso.net,netflix.com
www.nytimes.com,1.0,0.1781970014066799,0.795227980303647,0.0,0.4779853407174544,0.4779853407174544,0.8646127291091653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9760818367351137,1.0,0.9961355668866562,0.9999981333035574,0.9999981333035574,1.0,0.9990866866589585,0.9881999343198941,0.6941221168713652,0.9593046016913565,0.983496600091953
static01.nytimes.com,0.1781970014066799,1.0,0.951722292014576,0.012092955284533738,0.8185197971260101,0.8185197971260101,0.9686085869341589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999768084180373,1.0,0.9981848041907091,0.9999992948250045,0.9999992948250045,1.0,0.9995875727572585,0.9946737717983841,0.9477089957090359,0.9814816488971937,0.9974228336026737
purr.nytimes.com,0.795227980303647,0.951722292014576,1.0,0.6717461919874355,0.9781685153565814,0.9781685153565814,0.9940182213941818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999917292699766,1.0,0.9999842791386129,1.0,1.0,1.0,0.9999977147732941,0.999965796532416,0.9843824260265679,0.9998802875395923,0.9993340931339865
nytimes.com,0.0,0.012092955284533738,0.6717461919874355,1.0,0.22198972712026144,0.22198972712026144,0.7378428786525778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997769656207769,1.0,0.9824250531737493,0.9999928841746235,0.9999928841746235,1.0,0.9959679818894905,0.9490477372094364,0.5788702475898356,0.8327348722179424,0.9758911309957709
nyt.com,0.4779853407174544,0.8185197971260101,0.9781685153565814,0.22198972712026144,1.0,0.9129193514914996,0.9793664189705297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998966224854863,1.0,0.9993070528810127,0.9999995798650375,0.9999995798650375,1.0,0.9998310418799813,0.9978122997764269,0.9650457839297109,0.9923638222384537,0.9986273526353515
g1.nyt.com,0.4779853407174544,0.8185197971260101,0.9781685153565814,0.22198972712026144,0.9129193514914996,1.0,0.9793664189705297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998966224854863,1.0,0.9993070528810127,0.9999995798650375,0.9999995798650375,1.0,0.9998310418799813,0.9978122997764269,0.9650457839297109,0.9923638222384537,0.9986273526353515
a.nytimes.com,0.8646127291091653,0.9686085869341589,0.9940182213941818,0.7378428786525778,0.9793664189705297,0.9793664189705297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999990036180416,1.0,0.9992542863486027,0.9999996153633255,0.9999996153633255,1.0,0.9998253415438753,0.9977367073868095,0.9667621407774569,0.9921007129559227,0.9994601431048654
wikipedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881405701667561,0.881405701667561,0.961725882654476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994668677928695,0.9999266629375212,0.9998181135421632,0.9993276550073075,0.9993478502084624,0.9998512535103234
wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881405701667561,1.0,0.603001420336944,0.881405701667561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948684961436403,0.9971586470625555,0.9922025171456192,0.995606792320047,0.9731476386151922,0.9943578738979272
upload.wikimedia.org,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881405701667561,0.603001420336944,1.0,0.881405701667561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948684961436403,0.9971586470625555,0.9922025171456192,0.995606792320047,0.9731476386151922,0.9943578738979272
